,values,scaled
get,1748,100.0
could,1072,61.692043503148255
time,1057,60.84201488265598
work,1011,58.23526044647968
house,977,56.30852890669719
try,939,54.15512306811677
like,932,53.758443045220375
know,919,53.02175157412707
come,909,52.45506582713222
would,906,52.28506010303377
back,807,46.674871207784776
see,766,44.3514596451059
look,765,44.29479107040641
years,756,43.78477389811105
think,731,42.368059530623924
run,685,39.76130509444762
yes,676,39.25128792215226
people,655,38.06124785346308
ago,654,38.00457927876359
find,644,37.437893531768744
tell,598,34.83113909559244
last,592,34.49112764739554
walk,565,32.96107613050944
room,552,32.224384659416145
feel,544,31.77103606182026
away,533,31.14768174012593
take,521,30.46765884373211
make,520,30.410990269032627
say,519,30.35432169433314
chase,514,30.07097882083572
felt,510,29.844304522037778
car,509,29.787635947338295
around,503,29.447624499141384
end,503,29.447624499141384
old,497,29.107613050944476
night,478,28.030910131654263
never,465,27.29421866056096
die,455,26.72753291356611
keep,449,26.387521465369204
start,434,25.537492844876933
something,428,25.197481396680022
home,427,25.14081282198054
really,424,24.970807097882084
fall,417,24.57412707498569
someone,413,24.34745277618775
mother,407,24.00744132799084
family,405,23.89410417859187
always,400,23.610761305094446
talk,398,23.497424155695477
life,394,23.270749856897538
'm,393,23.214081282198052
want,391,23.100744132799083
still,380,22.47738981110475
leave,379,22.420721236405267
live,378,22.36405266170578
school,377,22.307384087006298
husband,368,21.79736691471093
fly,359,21.287349742415568
happen,357,21.1740125930166
way,356,21.117344018317116
father,351,20.83400114481969
saw,344,20.437321121923297
real,342,20.323983972524328
friend,340,20.21064682312536
job,332,19.75729822552948
day,330,19.64396107613051
mean,330,19.64396107613051
drive,329,19.587292501431023
move,325,19.360618202633084
place,325,19.360618202633084
seem,323,19.247281053234115
pass,321,19.133943903835146
friends,302,18.057240984544933
many,302,18.057240984544933
sit,297,17.773898111047508
man,292,17.490555237550087
bed,288,17.263880938752145
long,283,16.98053806525472
much,279,16.75386376645678
realize,276,16.58385804235833
us,273,16.413852318259874
door,272,16.35718374356039
lot,268,16.13050944476245
